customerID,Contract,PaymentMethod,tenure,MonthlyCharges,TotalCharges,Churn,actual_churn,predicted_churn,churn_probability,tenure_group,risk_segment
4376-KFVRS,Two year,Credit card (automatic),72,114.05,8468.2,No,0,0,0.06529039465527844,49+ months,Low Risk
2754-SDJRD,Month-to-month,Credit card (automatic),8,100.15,908.55,No,0,1,0.6752219132147805,0-12 months,Medium Risk
9917-KWRBE,One year,Credit card (automatic),41,78.35,3211.2,No,0,0,0.05895773872670839,25-48 months,Low Risk
0365-GXEZS,Month-to-month,Electronic check,18,78.2,1468.75,No,0,1,0.37870736392032534,13-24 months,Medium Risk
9385-NXKDA,Two year,Credit card (automatic),72,82.65,5919.35,No,0,0,0.03619516647083149,49+ months,Low Risk
4686-UXDML,Month-to-month,Credit card (automatic),21,99.85,1992.55,No,0,1,0.5435342661694026,13-24 months,Medium Risk
2227-JRSJX,Month-to-month,Bank transfer (automatic),21,99.15,1956.4,No,0,1,0.4065085106809772,13-24 months,Medium Risk
4830-FAXFM,Month-to-month,Credit card (automatic),19,24.1,439.2,No,0,0,0.10804390253124242,13-24 months,Low Risk
1830-IPXVJ,Two year,Credit card (automatic),61,19.75,1311.6,No,0,0,0.011908472990662729,49+ months,Low Risk
4690-LLKUA,Month-to-month,Electronic check,17,45.05,770.6,Yes,1,1,0.3871921693025702,13-24 months,Medium Risk
5804-HYIEZ,Month-to-month,Electronic check,70,106.05,7554.05,No,0,1,0.353894816430376,49+ months,Medium Risk
2388-LAESQ,Two year,Bank transfer (automatic),72,114.85,8317.95,No,0,0,0.0706799087419644,49+ months,Low Risk
5533-RJFTJ,Month-to-month,Bank transfer (automatic),49,30.2,1453.1,No,0,0,0.21781774825793868,49+ months,Low Risk
4706-AXVKM,Month-to-month,Credit card (automatic),11,84.8,906.85,Yes,1,1,0.5945875607458556,0-12 months,Medium Risk
0997-YTLNY,Month-to-month,Mailed check,19,48.8,953.65,No,0,0,0.14614327491008877,13-24 months,Low Risk
7971-HLVXI,Two year,Credit card (automatic),72,84.5,6130.85,No,0,0,0.11686565089282963,49+ months,Low Risk
7337-CINUD,Two year,Bank transfer (automatic),8,19.5,159.35,No,0,0,0.020878857374518008,0-12 months,Low Risk
1379-FRVEB,Month-to-month,Electronic check,15,91.0,1430.05,No,0,1,0.5810480471664136,13-24 months,Medium Risk
4753-PADAS,One year,Bank transfer (automatic),67,105.7,6816.95,No,0,0,0.21230467475528908,49+ months,Low Risk
5701-GUXDC,One year,Credit card (automatic),26,35.4,978.6,No,0,0,0.05908149734138007,25-48 months,Low Risk
7235-NXZCP,Month-to-month,Mailed check,2,74.85,156.4,Yes,1,1,0.6853692962192142,0-12 months,Medium Risk
0668-OGMHD,Month-to-month,Electronic check,21,28.5,629.35,No,0,0,0.2518236553182076,13-24 months,Low Risk
2812-REYAT,One year,Bank transfer (automatic),49,20.05,923.1,No,0,0,0.026139875105604126,49+ months,Low Risk
8779-YIQQA,One year,Mailed check,21,19.8,350.1,No,0,0,0.026683175144811947,13-24 months,Low Risk
9701-CDXHR,Month-to-month,Mailed check,51,69.15,3649.6,No,0,0,0.2377122213877249,49+ months,Low Risk
7130-CTCUS,Month-to-month,Bank transfer (automatic),16,54.55,825.1,No,0,0,0.1927879098235275,13-24 months,Low Risk
1894-IGFSG,Month-to-month,Electronic check,22,89.25,1907.85,Yes,1,1,0.4888038067037829,13-24 months,Medium Risk
0871-URUWO,Month-to-month,Credit card (automatic),13,102.25,1359.0,Yes,1,1,0.6602131049472322,13-24 months,Medium Risk
0057-QBUQH,Two year,Electronic check,43,25.1,1070.15,No,0,0,0.02837244058970746,25-48 months,Low Risk
9611-CTWIH,Month-to-month,Electronic check,3,89.45,240.45,Yes,1,1,0.7483046637238165,0-12 months,High Risk
8058-DMYRU,Month-to-month,Electronic check,54,90.05,4931.8,No,0,1,0.45255042162543546,49+ months,Medium Risk
5351-QESIO,Month-to-month,Mailed check,1,24.2,24.2,No,0,1,0.5218026950015999,0-12 months,Medium Risk
4302-ZYFEL,One year,Credit card (automatic),69,20.55,1403.1,No,0,0,0.021841756106893862,49+ months,Low Risk
6134-KWTBV,Two year,Bank transfer (automatic),62,23.4,1429.65,No,0,0,0.013602436995994775,49+ months,Low Risk
2034-GDRCN,Month-to-month,Electronic check,2,90.4,168.2,Yes,1,1,0.7710518607635559,0-12 months,High Risk
9544-PYPSJ,Month-to-month,Credit card (automatic),62,96.1,6019.35,No,0,1,0.34040890353056547,49+ months,Medium Risk
4208-UFFGW,Month-to-month,Mailed check,2,44.95,85.15,Yes,1,1,0.411573045157158,0-12 months,Medium Risk
9537-JALFH,Two year,Bank transfer (automatic),69,19.9,1356.7,No,0,0,0.011793255053653223,49+ months,Low Risk
4415-IJZTP,Month-to-month,Electronic check,1,74.5,74.5,Yes,1,1,0.8354408000406098,0-12 months,High Risk
4701-MLJPN,Month-to-month,Electronic check,31,55.25,1715.65,Yes,1,0,0.2039384527668671,25-48 months,Low Risk
7515-LODFU,Two year,Credit card (automatic),69,20.3,1356.3,No,0,0,0.013510373754771184,49+ months,Low Risk
4927-WWOOZ,Month-to-month,Electronic check,2,91.45,171.45,No,0,1,0.7956828624323874,0-12 months,High Risk
4067-HLYQI,Month-to-month,Bank transfer (automatic),33,70.4,2406.1,No,0,1,0.33993496952470714,25-48 months,Medium Risk
6184-DYUOB,Month-to-month,Mailed check,3,19.6,55.25,No,0,0,0.19396590215683596,0-12 months,Low Risk
9209-NWPGU,One year,Electronic check,44,65.4,2774.55,No,0,0,0.052675841530737275,25-48 months,Low Risk
