customerID,Contract,PaymentMethod,tenure,MonthlyCharges,TotalCharges,Churn,actual_churn,predicted_churn,churn_probability,tenure_group,risk_segment
4376-KFVRS,Two year,Credit card (automatic),72,114.05,8468.2,No,0,0,0.036690317,49+ months,Low Risk
2754-SDJRD,Month-to-month,Credit card (automatic),8,100.15,908.55,No,0,1,0.75492233,0-12 months,High Risk
9917-KWRBE,One year,Credit card (automatic),41,78.35,3211.2,No,0,0,0.064735964,25-48 months,Low Risk
0365-GXEZS,Month-to-month,Electronic check,18,78.2,1468.75,No,0,1,0.3249193,13-24 months,Medium Risk
9385-NXKDA,Two year,Credit card (automatic),72,82.65,5919.35,No,0,0,0.021159332,49+ months,Low Risk
4686-UXDML,Month-to-month,Credit card (automatic),21,99.85,1992.55,No,0,1,0.57910717,13-24 months,Medium Risk
2227-JRSJX,Month-to-month,Bank transfer (automatic),21,99.15,1956.4,No,0,1,0.48157203,13-24 months,Medium Risk
4830-FAXFM,Month-to-month,Credit card (automatic),19,24.1,439.2,No,0,0,0.11896649,13-24 months,Low Risk
1830-IPXVJ,Two year,Credit card (automatic),61,19.75,1311.6,No,0,0,0.013975844,49+ months,Low Risk
4690-LLKUA,Month-to-month,Electronic check,17,45.05,770.6,Yes,1,1,0.3441627,13-24 months,Medium Risk
5804-HYIEZ,Month-to-month,Electronic check,70,106.05,7554.05,No,0,0,0.3146456,49+ months,Medium Risk
2388-LAESQ,Two year,Bank transfer (automatic),72,114.85,8317.95,No,0,0,0.034896918,49+ months,Low Risk
5533-RJFTJ,Month-to-month,Bank transfer (automatic),49,30.2,1453.1,No,0,0,0.17948963,49+ months,Low Risk
4706-AXVKM,Month-to-month,Credit card (automatic),11,84.8,906.85,Yes,1,1,0.6462284,0-12 months,Medium Risk
0997-YTLNY,Month-to-month,Mailed check,19,48.8,953.65,No,0,0,0.14415845,13-24 months,Low Risk
7971-HLVXI,Two year,Credit card (automatic),72,84.5,6130.85,No,0,0,0.06277602,49+ months,Low Risk
7337-CINUD,Two year,Bank transfer (automatic),8,19.5,159.35,No,0,0,0.017324489,0-12 months,Low Risk
1379-FRVEB,Month-to-month,Electronic check,15,91.0,1430.05,No,0,1,0.6185926,13-24 months,Medium Risk
4753-PADAS,One year,Bank transfer (automatic),67,105.7,6816.95,No,0,0,0.23081839,49+ months,Low Risk
5701-GUXDC,One year,Credit card (automatic),26,35.4,978.6,No,0,0,0.06020999,25-48 months,Low Risk
7235-NXZCP,Month-to-month,Mailed check,2,74.85,156.4,Yes,1,1,0.6856539,0-12 months,Medium Risk
0668-OGMHD,Month-to-month,Electronic check,21,28.5,629.35,No,0,0,0.22887777,13-24 months,Low Risk
2812-REYAT,One year,Bank transfer (automatic),49,20.05,923.1,No,0,0,0.035899565,49+ months,Low Risk
8779-YIQQA,One year,Mailed check,21,19.8,350.1,No,0,0,0.0354149,13-24 months,Low Risk
9701-CDXHR,Month-to-month,Mailed check,51,69.15,3649.6,No,0,0,0.22323531,49+ months,Low Risk
7130-CTCUS,Month-to-month,Bank transfer (automatic),16,54.55,825.1,No,0,0,0.17711084,13-24 months,Low Risk
1894-IGFSG,Month-to-month,Electronic check,22,89.25,1907.85,Yes,1,1,0.44606227,13-24 months,Medium Risk
0871-URUWO,Month-to-month,Credit card (automatic),13,102.25,1359.0,Yes,1,1,0.6613704,13-24 months,Medium Risk
0057-QBUQH,Two year,Electronic check,43,25.1,1070.15,No,0,0,0.029389745,25-48 months,Low Risk
9611-CTWIH,Month-to-month,Electronic check,3,89.45,240.45,Yes,1,1,0.75447774,0-12 months,High Risk
8058-DMYRU,Month-to-month,Electronic check,54,90.05,4931.8,No,0,1,0.45822,49+ months,Medium Risk
5351-QESIO,Month-to-month,Mailed check,1,24.2,24.2,No,0,1,0.58102405,0-12 months,Medium Risk
4302-ZYFEL,One year,Credit card (automatic),69,20.55,1403.1,No,0,0,0.0310723,49+ months,Low Risk
6134-KWTBV,Two year,Bank transfer (automatic),62,23.4,1429.65,No,0,0,0.016076077,49+ months,Low Risk
2034-GDRCN,Month-to-month,Electronic check,2,90.4,168.2,Yes,1,1,0.7754871,0-12 months,High Risk
9544-PYPSJ,Month-to-month,Credit card (automatic),62,96.1,6019.35,No,0,0,0.29500332,49+ months,Low Risk
4208-UFFGW,Month-to-month,Mailed check,2,44.95,85.15,Yes,1,1,0.49845317,0-12 months,Medium Risk
9537-JALFH,Two year,Bank transfer (automatic),69,19.9,1356.7,No,0,0,0.01427633,49+ months,Low Risk
4415-IJZTP,Month-to-month,Electronic check,1,74.5,74.5,Yes,1,1,0.8002146,0-12 months,High Risk
4701-MLJPN,Month-to-month,Electronic check,31,55.25,1715.65,Yes,1,0,0.17733516,25-48 months,Low Risk
7515-LODFU,Two year,Credit card (automatic),69,20.3,1356.3,No,0,0,0.01563575,49+ months,Low Risk
4927-WWOOZ,Month-to-month,Electronic check,2,91.45,171.45,No,0,1,0.82062846,0-12 months,High Risk
4067-HLYQI,Month-to-month,Bank transfer (automatic),33,70.4,2406.1,No,0,0,0.30432075,25-48 months,Medium Risk
6184-DYUOB,Month-to-month,Mailed check,3,19.6,55.25,No,0,0,0.1839666,0-12 months,Low Risk
9209-NWPGU,One year,Electronic check,44,65.4,2774.55,No,0,0,0.06879181,25-48 months,Low Risk
9851-KIELU,Month-to-month,Electronic check,10,110.1,1043.3,Yes,1,1,0.59929854,0-12 months,Medium Risk
3199-XGZCY,Month-to-month,Electronic check,8,75.25,576.7,No,0,1,0.6694889,0-12 months,Medium Risk
4226-KKDON,Month-to-month,Electronic check,8,66.65,520.95,No,0,0,0.27632603,0-12 months,Low Risk
1085-LDWAM,One year,Credit card (automatic),69,20.35,1442.65,No,0,0,0.030429207,49+ months,Low Risk
6825-UYPFK,Month-to-month,Bank transfer (automatic),23,75.6,1758.6,Yes,1,0,0.28441146,13-24 months,Low Risk
1767-CJKBA,Two year,Mailed check,66,25.1,1697.7,No,0,0,0.016944794,49+ months,Low Risk
7181-BQYBV,Month-to-month,Electronic check,1,102.45,102.45,Yes,1,1,0.7692034,0-12 months,High Risk
0178-CIIKR,Month-to-month,Mailed check,3,19.95,58.0,No,0,0,0.14405766,0-12 months,Low Risk
4256-ZWTZI,Month-to-month,Mailed check,5,51.0,286.8,No,0,1,0.33771184,0-12 months,Medium Risk
9537-VHDTA,Month-to-month,Mailed check,1,51.2,51.2,No,0,1,0.4128047,0-12 months,Medium Risk
2754-XBHTB,Month-to-month,Bank transfer (automatic),9,77.65,714.15,Yes,1,1,0.5881761,0-12 months,Medium Risk
5975-BAICR,One year,Credit card (automatic),36,63.7,2188.5,No,0,0,0.06780682,25-48 months,Low Risk
3301-VKTGC,One year,Bank transfer (automatic),68,85.5,5696.6,No,0,0,0.056218047,49+ months,Low Risk
2877-VDUER,One year,Mailed check,35,40.9,1383.6,No,0,0,0.067092866,25-48 months,Low Risk
7717-BICXI,Two year,Mailed check,60,20.55,1205.05,No,0,0,0.014803061,49+ months,Low Risk
0562-FGDCR,Two year,Mailed check,72,74.55,5430.65,No,0,0,0.01191029,49+ months,Low Risk
3705-PSNGL,One year,Electronic check,45,20.4,930.45,Yes,1,0,0.04947854,25-48 months,Low Risk
0048-LUMLS,One year,Credit card (automatic),37,91.2,3247.55,No,0,0,0.13426758,25-48 months,Low Risk
6497-TILVL,Month-to-month,Mailed check,7,50.7,350.35,No,0,0,0.18356912,0-12 months,Low Risk
2108-YKQTY,Month-to-month,Credit card (automatic),4,50.7,151.3,Yes,1,0,0.28501624,0-12 months,Low Risk
3658-KIBGF,Month-to-month,Electronic check,1,54.9,54.9,Yes,1,1,0.46912184,0-12 months,Medium Risk
5482-NUPNA,Month-to-month,Mailed check,4,60.4,272.15,Yes,1,0,0.18271208,0-12 months,Low Risk
7410-KTVFV,Month-to-month,Mailed check,18,49.55,878.35,Yes,1,0,0.20193203,13-24 months,Low Risk
9033-EOXWV,One year,Mailed check,12,74.05,872.65,Yes,1,0,0.16620396,0-12 months,Low Risk
8821-XNHVZ,Month-to-month,Mailed check,1,80.05,80.05,Yes,1,1,0.8001027,0-12 months,High Risk
8224-KDLKN,Two year,Bank transfer (automatic),72,25.0,1738.9,No,0,0,0.010337203,49+ months,Low Risk
4825-FUREZ,Two year,Electronic check,42,20.25,835.5,No,0,0,0.026429752,25-48 months,Low Risk
7534-BFESC,Month-to-month,Electronic check,24,76.1,1712.7,Yes,1,1,0.5072586,13-24 months,Medium Risk
9138-EFSMO,One year,Bank transfer (automatic),26,78.95,2034.25,No,0,0,0.12132158,25-48 months,Low Risk
4227-OJHAL,One year,Credit card (automatic),68,73.0,5163.0,No,0,0,0.05326617,49+ months,Low Risk
7279-NMVJC,One year,Bank transfer (automatic),17,19.9,323.15,No,0,0,0.03899446,13-24 months,Low Risk
8591-TKMZH,Two year,Mailed check,59,111.1,6555.2,No,0,0,0.09011336,49+ months,Low Risk
9283-LZQOH,Month-to-month,Credit card (automatic),13,74.4,896.75,Yes,1,1,0.4918812,13-24 months,Medium Risk
3594-IVHJZ,Month-to-month,Mailed check,2,20.45,42.45,No,0,0,0.20193404,0-12 months,Low Risk
1945-XISKS,Two year,Mailed check,67,19.65,1335.2,No,0,0,0.014548364,49+ months,Low Risk
4359-INNWN,One year,Credit card (automatic),17,20.05,337.9,No,0,0,0.03899446,13-24 months,Low Risk
7649-SIJJF,Two year,Mailed check,71,80.1,5585.4,No,0,0,0.015384146,49+ months,Low Risk
9254-RBFON,One year,Bank transfer (automatic),17,98.6,1704.95,Yes,1,0,0.18484692,13-24 months,Low Risk
0970-ETWGE,Month-to-month,Electronic check,1,89.55,89.55,Yes,1,1,0.8317789,0-12 months,High Risk
7762-ONLJY,One year,Mailed check,6,19.7,94.45,No,0,0,0.042458147,0-12 months,Low Risk
6710-HSJRD,Month-to-month,Electronic check,61,114.1,7132.15,No,0,1,0.36948842,49+ months,Medium Risk
8873-GLDMH,Month-to-month,Mailed check,6,73.85,401.3,No,0,1,0.64326036,0-12 months,Medium Risk
9907-SWKKF,Month-to-month,Mailed check,1,25.05,25.05,Yes,1,1,0.63845676,0-12 months,Medium Risk
4658-HCOHW,Month-to-month,Electronic check,21,102.8,2110.15,Yes,1,1,0.50445795,13-24 months,Medium Risk
9330-VOFSZ,Two year,Credit card (automatic),60,110.8,6640.7,No,0,0,0.091979206,49+ months,Low Risk
2860-RANUS,Month-to-month,Credit card (automatic),20,85.8,1727.5,Yes,1,1,0.47386476,13-24 months,Medium Risk
6234-PFPXL,Month-to-month,Credit card (automatic),22,95.9,2234.95,No,0,1,0.33938304,13-24 months,Medium Risk
7205-BAIAD,Two year,Bank transfer (automatic),40,20.6,827.3,No,0,0,0.01620272,25-48 months,Low Risk
3858-VOBET,Month-to-month,Electronic check,23,74.95,1710.45,Yes,1,1,0.48331663,13-24 months,Medium Risk
5103-MHMHY,Month-to-month,Mailed check,1,45.95,45.95,Yes,1,1,0.51694673,0-12 months,Medium Risk
6119-SPUDB,Two year,Mailed check,46,38.25,1755.35,No,0,0,0.02253766,25-48 months,Low Risk
9389-ACWBI,Month-to-month,Credit card (automatic),5,69.95,320.4,No,0,1,0.5267286,0-12 months,Medium Risk
3454-JFUBC,Two year,Credit card (automatic),68,20.0,1396.0,No,0,0,0.01563575,49+ months,Low Risk
1768-ZAIFU,Month-to-month,Electronic check,1,25.2,25.2,Yes,1,1,0.7578978,0-12 months,High Risk
7017-VFULY,Month-to-month,Bank transfer (automatic),2,20.1,43.15,No,0,0,0.15888624,0-12 months,Low Risk
9221-OTIVJ,Month-to-month,Electronic check,14,104.85,1531.4,Yes,1,1,0.73429596,13-24 months,High Risk
2482-CZGBB,Month-to-month,Electronic check,10,70.0,740.0,Yes,1,1,0.6023269,0-12 months,Medium Risk
7018-WBJNK,Month-to-month,Credit card (automatic),13,78.3,1033.95,No,0,1,0.4956578,13-24 months,Medium Risk
3331-HQDTW,Month-to-month,Mailed check,34,109.8,3587.25,Yes,1,1,0.34711537,25-48 months,Medium Risk
4695-VADHF,Month-to-month,Electronic check,18,57.45,990.85,Yes,1,0,0.2761754,13-24 months,Low Risk
4086-WITJG,Two year,Credit card (automatic),71,19.7,1301.1,No,0,0,0.010685412,49+ months,Low Risk
6297-NOOPG,Two year,Electronic check,70,110.5,7752.05,No,0,0,0.10407808,49+ months,Low Risk
8777-PVYGU,One year,Mailed check,52,64.3,3410.6,No,0,0,0.05235762,49+ months,Low Risk
4378-MYPGO,Two year,Bank transfer (automatic),68,105.25,7173.15,No,0,0,0.09577794,49+ months,Low Risk
9313-CDOGY,Month-to-month,Electronic check,38,19.6,717.3,No,0,0,0.07835321,25-48 months,Low Risk
4121-AGSIN,One year,Credit card (automatic),58,24.5,1497.9,No,0,0,0.03297426,49+ months,Low Risk
0432-CAJZV,Month-to-month,Mailed check,3,90.7,237.65,No,0,1,0.66420966,0-12 months,Medium Risk
9097-ZUBYC,Month-to-month,Bank transfer (automatic),14,48.8,664.4,No,0,0,0.16370255,13-24 months,Low Risk
9638-JIQYA,Month-to-month,Credit card (automatic),2,24.9,49.7,No,0,1,0.5910543,0-12 months,Medium Risk
1024-GUALD,Month-to-month,Electronic check,1,24.8,24.8,Yes,1,1,0.69632035,0-12 months,Medium Risk
8024-XNAFQ,Two year,Bank transfer (automatic),72,107.4,7748.75,No,0,0,0.037469354,49+ months,Low Risk
7587-RZNME,Month-to-month,Electronic check,3,43.3,123.65,Yes,1,1,0.4710799,0-12 months,Medium Risk
1346-UFHAX,Month-to-month,Credit card (automatic),13,80.0,1029.35,No,0,1,0.4373888,13-24 months,Medium Risk
6374-NTQLP,Two year,Credit card (automatic),72,104.1,7447.7,No,0,0,0.047946665,49+ months,Low Risk
6625-FLENO,Two year,Mailed check,58,20.75,1185.95,No,0,0,0.015408947,49+ months,Low Risk
7375-WMVMT,Two year,Credit card (automatic),71,95.5,6707.15,No,0,0,0.04142165,49+ months,Low Risk
6910-HADCM,Month-to-month,Electronic check,1,76.35,76.35,Yes,1,1,0.74494845,0-12 months,High Risk
7401-JIXNM,Two year,Credit card (automatic),54,91.3,4965.0,No,0,0,0.021341955,49+ months,Low Risk
7338-ERIVA,One year,Bank transfer (automatic),39,45.05,1790.6,No,0,0,0.045110617,25-48 months,Low Risk
5376-DEQCP,Month-to-month,Electronic check,1,70.6,70.6,Yes,1,1,0.77145433,0-12 months,High Risk
0909-SELIE,Two year,Bank transfer (automatic),61,80.8,4860.85,No,0,0,0.019472875,49+ months,Low Risk
5419-KLXBN,Month-to-month,Bank transfer (automatic),25,89.15,2257.75,Yes,1,1,0.40656263,25-48 months,Medium Risk
0365-TRTPY,Month-to-month,Bank transfer (automatic),37,91.2,3382.3,No,0,0,0.2234042,25-48 months,Low Risk
6712-OAWRH,Month-to-month,Electronic check,26,91.25,2351.8,Yes,1,1,0.5240024,25-48 months,Medium Risk
2428-ZMCTB,Month-to-month,Credit card (automatic),10,19.75,208.25,No,0,0,0.10176882,0-12 months,Low Risk
1963-VAUKV,Month-to-month,Mailed check,1,20.4,20.4,Yes,1,0,0.29403707,0-12 months,Low Risk
9381-NDKME,Month-to-month,Credit card (automatic),24,40.65,933.3,Yes,1,1,0.31811228,13-24 months,Medium Risk
3729-OWRVL,Two year,Electronic check,65,110.35,7246.15,No,0,0,0.1620491,49+ months,Low Risk
0895-LMRSF,One year,Bank transfer (automatic),23,64.9,1509.8,No,0,0,0.13886546,13-24 months,Low Risk
2676-SSLTO,Two year,Bank transfer (automatic),49,66.15,3199.0,No,0,0,0.044025533,49+ months,Low Risk
8495-PRWFH,Month-to-month,Electronic check,42,55.65,2421.75,No,0,0,0.27201554,25-48 months,Low Risk
9030-QGZNL,Two year,Mailed check,8,20.85,161.65,No,0,0,0.018664597,0-12 months,Low Risk
9972-NKTFD,Month-to-month,Bank transfer (automatic),28,54.65,1517.5,No,0,0,0.117298596,25-48 months,Low Risk
7998-WNZEM,Two year,Bank transfer (automatic),71,80.6,5708.2,No,0,0,0.015384146,49+ months,Low Risk
0979-PHULV,Month-to-month,Credit card (automatic),69,99.45,7007.6,Yes,1,1,0.38724846,49+ months,Medium Risk
6445-TNRXS,Two year,Bank transfer (automatic),68,114.7,7849.85,No,0,0,0.085831456,49+ months,Low Risk
9586-JGQKH,Two year,Bank transfer (automatic),64,105.4,6794.75,No,0,0,0.0784482,49+ months,Low Risk
3966-HRMZA,Month-to-month,Mailed check,3,75.05,202.9,No,0,1,0.54954976,0-12 months,Medium Risk
5498-IBWPI,One year,Credit card (automatic),66,49.4,3251.85,No,0,0,0.058077756,49+ months,Low Risk
6823-SIDFQ,One year,Credit card (automatic),28,18.25,534.7,No,0,0,0.029685933,25-48 months,Low Risk
2323-ARSVR,Two year,Electronic check,67,111.05,7321.05,No,0,0,0.08935901,49+ months,Low Risk
5468-BPMMO,Month-to-month,Electronic check,46,19.6,851.2,No,0,0,0.08716728,25-48 months,Low Risk
0486-HECZI,Month-to-month,Electronic check,55,96.75,5238.9,Yes,1,1,0.353934,49+ months,Medium Risk
2178-PMGCJ,Month-to-month,Mailed check,22,69.7,1490.4,No,0,1,0.3345136,13-24 months,Medium Risk
4660-IRIBM,Month-to-month,Mailed check,18,87.9,1500.5,No,0,1,0.36825156,13-24 months,Medium Risk
9674-EHPPG,Two year,Credit card (automatic),46,40.4,1842.7,No,0,0,0.02253766,25-48 months,Low Risk
5606-AMZBO,Month-to-month,Credit card (automatic),10,78.15,765.15,No,0,1,0.47207892,0-12 months,Medium Risk
0665-XHDJU,Two year,Electronic check,72,99.4,7285.7,No,0,0,0.13770881,49+ months,Low Risk
5402-HTOTQ,Month-to-month,Electronic check,16,55.3,875.35,No,0,0,0.2629045,13-24 months,Low Risk
8258-GSTJK,Month-to-month,Electronic check,3,77.0,237.75,Yes,1,1,0.7599045,0-12 months,High Risk
3787-TRIAL,Month-to-month,Electronic check,21,26.05,565.75,No,0,1,0.36363727,13-24 months,Medium Risk
6175-IRFIT,Month-to-month,Mailed check,5,78.75,426.35,No,0,1,0.58085865,0-12 months,Medium Risk
6317-YPKDH,Month-to-month,Bank transfer (automatic),1,29.95,29.95,Yes,1,1,0.54532444,0-12 months,Medium Risk
5692-FPTAH,Month-to-month,Mailed check,1,45.4,45.4,Yes,1,1,0.5886122,0-12 months,Medium Risk
5373-SFODM,Month-to-month,Credit card (automatic),36,85.25,3132.75,Yes,1,1,0.37905362,25-48 months,Medium Risk
0868-VJRDR,Two year,Credit card (automatic),64,104.05,6605.55,No,0,0,0.06783647,49+ months,Low Risk
